id,status,last_price_traded,total_matched,handicap,market_id,record_date
29178,ACTIVE,1.71,0.0,0.0,1.216143197,2023-07-17 12:00
29167,ACTIVE,2.44,0.0,0.0,1.216143197,2023-07-17 12:00
29171,ACTIVE,2.02,0.0,0.0,1.216143243,2023-07-17 12:00
29157,ACTIVE,1.98,0.0,0.0,1.216143243,2023-07-17 12:00
29160,ACTIVE,2.22,0.0,0.0,1.216143289,2023-07-17 12:00
7100968,ACTIVE,1.82,0.0,0.0,1.216143289,2023-07-17 12:00
29159,ACTIVE,1.85,0.0,0.0,1.216143336,2023-07-17 12:00
29179,ACTIVE,2.16,0.0,0.0,1.216143336,2023-07-17 12:00
29161,ACTIVE,2.1,0.0,0.0,1.216143384,2023-07-17 12:00
1093236,ACTIVE,1.84,0.0,0.0,1.216143384,2023-07-17 12:00
41541473,ACTIVE,,0.0,0.0,1.216153680,2023-07-17 12:00
29176,ACTIVE,,0.0,0.0,1.216153680,2023-07-17 12:00
29158,ACTIVE,,0.0,0.0,1.216153728,2023-07-17 12:00
7100972,ACTIVE,,0.0,0.0,1.216153728,2023-07-17 12:00
1033687,ACTIVE,2.4,0.0,0.0,1.216142939,2023-07-17 17:39
29166,ACTIVE,1.72,0.0,0.0,1.216142939,2023-07-17 17:39
6266193,ACTIVE,2.02,0.0,0.0,1.216142999,2023-07-17 17:39
50291,ACTIVE,1.97,0.0,0.0,1.216142999,2023-07-17 17:39
29162,ACTIVE,1.87,0.0,0.0,1.216143061,2023-07-17 17:39
29163,ACTIVE,2.16,0.0,0.0,1.216143061,2023-07-17 17:39
29178,ACTIVE,1.73,0.0,0.0,1.216143197,2023-07-17 17:39
29167,ACTIVE,2.38,0.0,0.0,1.216143197,2023-07-17 17:39
29171,ACTIVE,2.08,0.0,0.0,1.216143243,2023-07-17 17:39
29157,ACTIVE,1.91,0.0,0.0,1.216143243,2023-07-17 17:39
29160,ACTIVE,2.28,0.0,0.0,1.216143289,2023-07-17 17:39
7100968,ACTIVE,1.79,0.0,0.0,1.216143289,2023-07-17 17:39
29159,ACTIVE,1.81,0.0,0.0,1.216143336,2023-07-17 17:39
29179,ACTIVE,2.18,0.0,0.0,1.216143336,2023-07-17 17:39
29161,ACTIVE,2.14,0.0,0.0,1.216143384,2023-07-17 17:39
1093236,ACTIVE,1.82,0.0,0.0,1.216143384,2023-07-17 17:39
41541473,ACTIVE,1.86,0.0,0.0,1.216153680,2023-07-17 17:39
29176,ACTIVE,2.2,0.0,0.0,1.216153680,2023-07-17 17:39
29158,ACTIVE,1.74,0.0,0.0,1.216153728,2023-07-17 17:39
7100972,ACTIVE,2.36,0.0,0.0,1.216153728,2023-07-17 17:39
5408012,ACTIVE,2.08,0.0,0.0,1.216170361,2023-07-18 12:00
29174,ACTIVE,1.93,0.0,0.0,1.216170361,2023-07-18 12:00
29162,ACTIVE,2.24,0.0,0.0,1.216170407,2023-07-18 12:00
